base,digit_length,representation,head[:10],mid[:10],tail[:10],numerator/denominator(B^(L-1))
42,34,27CDf0cmAajiauiDp5plCig1uqiA000000,27CDf0cmAa,iauiDp5plC,g1uqiA0000,229307117456180116496000000000/104766730700517064114916614389
43,34,10cs2fgqDy9demivwauB2qzeFhrlbxyDcd,10cs2fgqDy,demivwauB2,zeFhrlbxyD,808017424794512875886459904961710757005754368000000000/8025258571166733068109572
44,33,kwAe5D6kdcwrlezciep9F32Anl6cfkw00,kwAe5D6kdc,rlezciep9F,2Anl6cfkw0,94897671331458543239421021760330078125/4574256108374958360116279051236409344
45,33,a4Aq7EHdfzlowgAeDch8ghC9000000000,a4Aq7EHdfz,owgAeDch8g,C900000000,118649412730004522139041045727219286016/11739383961959019099247455596923828125
46,33,504Edvc6EJqE4Jfc2eACcyhfnfn5bsoE0,504Edvc6EJ,E4Jfc2eACc,hfnfn5bsoE,8179618134715157802808502455785696000000000/163517002219648134956095974858768292
47,33,2o6lgjH5A7KFlvDsjv5BD17adfyHD93K0,2o6lgjH5A7,FlvDsjv5BD,7adfyHD93K,17191860102010912252903402233227888446930944000000000/68396455513623034143881502
48,33,1dolJeoIhom6xJ090Eg85c00000000000,1dolJeoIho,6xJ090Eg85,0000000000,3293182746777604312211658203125/2569890986007272572940099518464
49,32,wmpgjIBGF2FCgn32rADz6yBu8vCtf000,wmpgjIBGF2,FCgn32rADz,yBu8vCtf00,6868034788179354485685895374900855570432000000000/211587613802425391637729361787
50,32,hhu5cL0FeJgyru7dfDdhd1ALftru0000,hhu5cL0FeJ,gyru7dfDdh,1ALftru000,192646366308811396571745849838664712192/11102230246251565404236316680908203125
51,32,9jNIlAjuwJMDy4pDlv0D6htzzykqDdc0,9jNIlAjuwJ,MDy4pDlv0D,htzzykqDdc,13631596131664122488400855437410304000000000/14514478729309082740468716202474551
52,32,57pKkbun9u2y3P1Clo0t9GjAOogyo000,57pKkbun9u,2y3P1Clo0t,GjAOogyo00,5226498967276506022744626141556640625/1016000204155282798363904252675424256
53,32,2J34GKLb9kvA5JbKzCqp0QEHmhrHdgMA,2J34GKLb9k,vA5JbKzCqp,QEHmhrHdgM,808017424794512875886459904961710757005754368000000000/2834992782812586577255256
54,32,1wbLpjErc1ld0jiytLu4A3g1IA000000,1wbLpjErc1,ld0jiytLu4,3g1IA00000,107911012246408538102551616000000000/67585198634817523235520443624317923
55,31,NDA4PlxlBKouxf1px5qF5R8NN5dnz00,NDA4PlxlBK,ouxf1px5qF,5R8NN5dnz0,3419048937973475970693119597854511632949968896/687646561176773233593349762349128
56,31,sRCB3wtyGExThNDQL6ebD7M98000000,sRCB3wtyGE,xThNDQL6eb,D7M9800000,97600644553769974517164987658203125/3370332665065233120494708448034816
57,31,h1zogpNjxPjMMkolDIrvN6Krt2oRPi0,h1zogpNjxP,jMMkolDIrv,N6Krt2oRPi,12196691275699478015937607496630272000000000/71625385895849896069591008481057658
58,31,a68FeBFwFVujenKuMEHG6BgeVofd9G0,a68FeBFwFV,ujenKuMEHG,6BgeVofd9G,25949133392889466133047662963182208000000000/25676861531612111345618282147310161
