module,value,count
Init.Data.Repr,57,1
Init.Data.Repr,92,2
Init.Data.Repr,97,1
Init.Data.Repr,98,1
Init.Data.Repr,99,1
Init.Data.Repr,100,1
Init.Data.Repr,101,1
Init.Data.Repr,102,1
Init.Data.Repr,127,3
Init.Data.Repr,178,1
Init.Data.Repr,179,1
Init.Data.Repr,185,1
Init.Data.Repr,1024,9
Init.Data.Repr,8304,1
Init.Data.Repr,8308,1
Init.Data.Repr,8309,1
Init.Data.Repr,8310,1
Init.Data.Repr,8311,1
Init.Data.Repr,8312,1
Init.Data.Repr,8313,1
Init.Data.Repr,8320,1
Init.Data.Repr,8321,1
Init.Data.Repr,8322,1
Init.Data.Repr,8323,1
Init.Data.Repr,8324,1
Init.Data.Repr,8325,1
Init.Data.Repr,8326,1
Init.Data.Repr,8327,1
Init.Data.Repr,8328,1
Init.Data.Repr,8329,1
Init.Data.ToString.Basic,0,3
Init.Data.ToString.Basic,93,1
Init.Util,0,1
Init.GetElem,0,14
Init.GetElem,1,4
Init.GetElem,2,2
Init.GetElem,17,1
Init.GetElem,18,1
Init.GetElem,331,1
Init.GetElem,1022,1
Init.GetElem,1024,4
Init.Data.Array.Basic,0,95
Init.Data.Array.Basic,1,50
Init.Data.Array.Basic,2,1
Init.Data.Array.Basic,4,1
Init.Data.Array.Basic,7,1
Init.Data.Array.Basic,14,1
Init.Data.Array.Basic,47,1
Init.Data.Array.Basic,419,1
Init.Data.Array.Basic,1024,1
Init.Data.Array.Basic,1201,1
Init.Data.Array.Basic,1789,1
Init.Data.Array.Basic,1871,1
Init.Data.Array.GetLit,0,10
Init.Data.Array.GetLit,1,5
Init.Data.Option.BasicAux,14,1
Init.Data.Option.BasicAux,22,1
Init.Meta.Defs,0,55
Init.Meta.Defs,1,43
Init.Meta.Defs,2,22
Init.Meta.Defs,7,3
Init.Meta.Defs,8,8
Init.Meta.Defs,9,5
Init.Meta.Defs,10,7
Init.Meta.Defs,11,1
Init.Meta.Defs,12,3
Init.Meta.Defs,13,6
Init.Meta.Defs,14,6
Init.Meta.Defs,15,3
Init.Meta.Defs,16,5
Init.Meta.Defs,17,1
Init.Meta.Defs,19,2
Init.Meta.Defs,20,2
Init.Meta.Defs,21,1
Init.Meta.Defs,23,1
Init.Meta.Defs,33,2
Init.Meta.Defs,34,3
Init.Meta.Defs,39,7
Init.Meta.Defs,48,2
Init.Meta.Defs,63,2
Init.Meta.Defs,66,2
Init.Meta.Defs,79,2
Init.Meta.Defs,88,2
Init.Meta.Defs,92,5
Init.Meta.Defs,95,8
Init.Meta.Defs,96,2
Init.Meta.Defs,98,2
Init.Meta.Defs,110,2
Init.Meta.Defs,111,2
Init.Meta.Defs,114,4
Init.Meta.Defs,116,2
Init.Meta.Defs,117,2
Init.Meta.Defs,120,4
Init.Meta.Defs,171,1
Init.Meta.Defs,187,1
Init.Meta.Defs,192,2
Init.Meta.Defs,215,3
Init.Meta.Defs,247,3
Init.Meta.Defs,255,2
Init.Meta.Defs,256,2
Init.Meta.Defs,383,2
Init.Meta.Defs,913,4
Init.Meta.Defs,928,3
Init.Meta.Defs,931,3
Init.Meta.Defs,937,2
Init.Meta.Defs,945,2
Init.Meta.Defs,955,3
Init.Meta.Defs,969,2
Init.Meta.Defs,970,2
Init.Meta.Defs,989,2
Init.Meta.Defs,1000,1
Init.Meta.Defs,1019,2
Init.Meta.Defs,1024,22
Init.Meta.Defs,1133,1
Init.Meta.Defs,7522,2
Init.Meta.Defs,7530,2
Init.Meta.Defs,7936,2
Init.Meta.Defs,8190,2
Init.Meta.Defs,8320,2
Init.Meta.Defs,8329,2
Init.Meta.Defs,8336,2
